vacancy_name,salary,city,country,work_category,website_name,posted_date,effectivness,experience
"Full Stack Web Developer (Yii2, HTML5, CSS, JS)",$3000–3500,"Киев, удаленно",Ukraine,IT,dou.ua,1616457600.0,0.0,1.0
Backend Web Developer,$1300–2500,Киев,Ukraine,IT,dou.ua,1615507200.0,0.0,1.0
Remote Java / Web developer,$800,удаленно,Ukraine,IT,dou.ua,1617267815.114718,0.0,1.0
Junior/Middle Web Developer (Vue.js),,Харьков,Ukraine,IT,dou.ua,1617062400.0,0.0,1.0
Backend Web Developer for Music project (PHP),,"Николаев, Херсон, удаленно",Ukraine,IT,dou.ua,1617062400.0,0.0,1.0
Angular Web Developer,,"Киев, Полтава, удаленно",Ukraine,IT,dou.ua,1617062400.0,0.0,1.0
WEB Developer @FS Holding,,Киев,Ukraine,IT,dou.ua,1616976000.0,0.0,1.0
FullStack Web Developer (PHP/JS),,"Николаев, Херсон, удаленно",Ukraine,IT,dou.ua,1616976000.0,0.0,1.0
React Front End Web Developer,,"Киев, Харьков",Ukraine,IT,dou.ua,1616976000.0,0.0,1.0
3D Web Developer (JavaScript),,"Киев, удаленно",Ukraine,IT,dou.ua,1616716800.0,0.0,1.0
SFCC Senior Web Developer,,"Киев, Винница, Луцк, Ужгород, Чернигов",Ukraine,IT,dou.ua,1616716800.0,0.0,1.0
Web Developer,,"Киев, удаленно",Ukraine,IT,dou.ua,1616716800.0,0.0,1.0
Middle Web-программист,от $700,удаленно,Ukraine,IT,dou.ua,1616716800.0,0.0,1.0
"Web developer (Full-Stack, WP, Opencart) 🔥",$1000–1300,"Киев, удаленно",Ukraine,IT,dou.ua,1616716800.0,0.0,1.0
Senior Web Developer,,"Киев, Харьков, Львов, Одесса",Ukraine,IT,dou.ua,1616630400.0,0.0,1.0
Python Web Developer,,Одесса,Ukraine,IT,dou.ua,1616544000.0,0.0,1.0
🔥Middle Full Stack Web Developer,$1500–1800,,Ukraine,IT,dou.ua,1616544000.0,0.0,1.0
Senior React JavaScript Web Developer for AKQA (210001ND),,Киев,Ukraine,IT,dou.ua,1616371200.0,0.0,1.0
"Experienced backend web developer, python — remote",от $2500,удаленно,Ukraine,IT,dou.ua,1616112000.0,0.0,1.0
Web Developer (React),$1500–2500,удаленно,Ukraine,IT,dou.ua,1616112000.0,0.0,1.0
